oznam_title,contracting_authority_name,oznam_e_auction,estimatedprice,procedure_title,contract_type,contract_sub_type,nuts,gpa,result_e_auction,eu_funds,total_final_value_amount,total_final_value_vat_included,total_final_value_vat_rate,total_final_value_amount_minus_vat
"Komponenty na stavbu zariadenia, plynové a vákuové rozvody, tlaková nádoba a súčasti potrebné na ich inštaláciu a riadenie","PHOSTEC, s.r.o.",,236340,Otvorená,Služby,27 - Ostatné služby,SK032,false,false,true,252900,false,,252900
Inovatívna technológia pre stolársku výrobu,"OKNOTYP, s.r.o.",,162532,Otvorená,Tovary,Kúpa,SK031,false,true,true,162500,false,,162500
Špeciálna hasičská a záchranárska technika II.,Ministerstvo vnútra Slovenskej republiky,,17583334,Otvorená,Tovary,Kúpa,SK,true,false,true,3864530,false,,3864530
Špeciálna hasičská a záchranárska technika II.,Ministerstvo vnútra Slovenskej republiky,,17583334,Otvorená,Tovary,Kúpa,SK,true,false,true,151400,false,,151400
Špeciálna hasičská a záchranárska technika II.,Ministerstvo vnútra Slovenskej republiky,,17583334,Otvorená,Tovary,Kúpa,SK0,true,false,true,17583334,false,,17583334
"Komplexná technická, informačná a výskumná infraštruktúra UVP UPJŠ vrátane súvisiacich služieb","Univerzita Pavla Jozefa Šafárika v Košiciach, Rektorát",,5886175,Otvorená,Služby,7,SK042,true,false,true,6155325.83,false,,6155325.83
"Komplexná technická, informačná a výskumná infraštruktúra UVP UPJŠ vrátane súvisiacich služieb","Univerzita Pavla Jozefa Šafárika v Košiciach, Rektorát",,5886175,Otvorená,Služby,7,SK042,true,true,true,7386391,true,20,5909112.800000001
Obstaranie inovatívnych technológií pre výrobu výrobkov z plechu,SLAVSTROJ s.r.o.,,153805,Otvorená,Tovary,Kúpa,SK042,false,true,true,147400,false,,147400
vedecko-popularizačné multimediálne programy,Centrum vedecko-technických informácií SR,,200000,Otvorená,Služby,27,SK,false,false,true,143280,true,20,114624
Dodávka elektrickej energie,Mesto Malacky,,485000,Otvorená,Tovary,Kúpa,SK010,false,true,false,460106,false,,460106
Dodávka elektrickej energie,Mesto Malacky,,485000,Otvorená,Tovary,Kúpa,SK010,false,true,false,460106,false,,460106
Dodávka elektrickej energie,Mesto Malacky,,485000,Otvorená,Tovary,Kúpa,SK010,false,true,false,1323.12,false,,1323.12
Audit účtovnej jednotky,"LESY Slovenskej republiky, štátny podnik",,1120000,Otvorená,Služby,9,SK,false,false,false,880000,false,,880000
Komunálne služby v meste Sereď,Mesto Sereď,,727602,Otvorená,Služby,16 - Kanalizačné služby a zber a likvidácia odpadu; sanitárne a podobné služby,SK021,false,true,false,851329.72,true,20,681063.7760000001
"Komplexná údržba verejnej zelene, detských ihrísk a pieskovísk a letná údržba komunikácií",Mestská časť Bratislava - Dúbravka,,1100000,Otvorená,Služby,16,SK01,false,false,false,321952,true,20,257561.6
Nábytok SAV pre Výskumné centrum Košice,Slovenská akadémia vied (SAV),,480000,Otvorená,Tovary,Kúpa,SK042,true,true,true,448500,true,20,358800
Nábytok SAV pre Výskumné centrum Košice,Slovenská akadémia vied (SAV),,480000,Otvorená,Tovary,Kúpa,SK042,true,false,true,448500,true,20,358800
Komunikačno-informačná kampaň k Operačnému programu Doprava a Operačnému programu Integrovaná infraštruktúra,"Ministerstvo dopravy, výstavby a regionálneho rozvoja Slovenskej republiky",,5000000,Otvorená,Služby,13,SK01,true,false,true,5000000,false,,5000000
Unikátne a kombinované prístrojové systémy pre molekulárnu medicínu s príslušenstvom pre UVP Medipark Košice,"Univerzita Pavla Jozefa Šafárika v Košiciach, Rektorát",,3748496.04,Otvorená,Tovary,Kúpa,SK042,true,true,true,3717712.92,false,,3717712.92
Oftalmologiká,Nemocnica Poprad a. s.,,500000,Otvorená,Tovary,Kúpa,SK041,false,true,false,594220.9,false,,594220.9
Upratovanie,K13-Košické kultúrne centrá,,925504.27,Otvorená,Služby,16 - Kanalizačné služby a zber a likvidácia odpadu; sanitárne a podobné služby,SK042,true,false,false,479549.03,true,20,383639.22400000005
Fyzická bezpečnosť pracovísk VšZP,"Všeobecná zdravotná poisťovňa, a.s.",,1360000,Otvorená,Služby,7,SK0,true,false,false,1355272,false,,1355272
Linka na potlač rohožiek a menších kobercov,Ing. Ladislav Nyers - 3 STAR,,332900,Otvorená,Tovary,Kúpa,SK023,true,true,true,334000,false,,334000
"Zabezpečenie strážnej služby pre BSK a iných nehnuteľností ktoré vlastní, prípadne BSK nadobudne",Bratislavský samosprávny kraj,,600000,Otvorená,Služby,23,SK01,false,false,false,3.98,false,,3.98
Technika na zber a spracovanie fytomasy,"Poľno-Čergov, s.r.o.",,194524,Otvorená,Tovary,Kúpa,SK041,false,true,true,193954,false,,193954
Nákup technologického vybavenia zberného dvora,Obec Zemplínske Jastrabie,,211206.6,Otvorená,Tovary,Kúpa,SK042,true,true,true,269400,true,20,215520
Obnova lesných porastov po kalamite Žofia,Urbárske pozemkové spoločenstvo Bobrovec,,393774.6,Otvorená,Služby,27,SK031,false,false,true,305453.9,false,,305453.9
Prevádzka a údržba informačného systému Mesta Trenčín a jeho organizácií,Mesto Trenčín,,230000,Otvorená,Služby,7,SK022,true,true,false,273030.24,true,20,218424.192
Výkon servisnej činnosti a opráv stavebnej a technologickej časti stavby I/11 Čadca - tunel Horelica,"Národná diaľničná spoločnosť, a.s.",,1080000,Otvorená,Služby,1,SK031,true,false,false,371350.68,false,,371350.68
Angiografický prístroj.,Fakultná nemocnica Trenčín,,1380400,Otvorená,Tovary,Kúpa,SK022,true,true,true,1540000,true,20,1232000
Obnova lesných porastov LD Krížová skala,"Lesné družstvo Križová skala, Veľký Lipník",,263416,Otvorená,Služby,27 - Ostatné služby,SK041,false,false,true,262473.93,false,,262473.93
"Dobudovanie ául, vnútorné vybavenie a potrebné technológie v budove FIIT STU v Bratislave",Slovenská technická univerzita v Bratislave - Rektorát,,1208300,Otvorená,Tovary,Kúpa,SK010,true,true,false,1449960,true,20,1159968
"Obnovný manažment odstránením náletov, mulčovaním a kosením",DAPHNE - Inštitút aplikovanej ekológie,,240000,Otvorená,Služby,27,SK,false,true,true,199500,true,20,159600
Zneškodňovanie komunálnych odpadov z mesta Sereď skládkovaním,Mesto Sereď,,598557.6,Otvorená,Služby,16,SK021,false,true,false,718358.4,true,20,574686.7200000001
Obstaranie dopravných služieb pre delegácie na vysokej úrovni počas predsedníctva SR v Rade EÚ v r. 2016,Ministerstvo zahraničných vecí a európskych záležitostí Slovenskej republiky,,253668,Otvorená,Služby,2 - Služby pozemnej dopravy vrátane služieb pancierových automobilov a kuriérskych služieb okrem prepravy poštových zásielok,SK010,true,false,false,253668,false,,253668
Nákup pohonných látok prostredníctvom palivových kariet (bezhotovostne),Ministerstvo obrany Slovenskej republiky -  Akvizičná agentúra,,3586666.67,Otvorená,Tovary,Kúpa,SK0,false,true,false,4304000,true,20,3443200
Nákup pohonných látok prostredníctvom palivových kariet (bezhotovostne),Ministerstvo obrany Slovenskej republiky -  Akvizičná agentúra,,3586666.67,Otvorená,Tovary,Kúpa,SK0,false,false,false,131217.59,true,20,104974.072
Špecializované prístroje pre UVP STU - Centrum,Slovenská technická univerzita v Bratislave - Rektorát,,778544.83,Otvorená,Tovary,Kúpa,SK01,true,true,true,727826.83,false,,727826.83
Údržba verejnej zelene v meste Topoľčany a mestských častiach Malé a Veľké Bedzany,Mesto Topoľčany,,353000,Otvorená,Služby,27 - Ostatné služby,SK023,false,false,false,315096.6152,true,20,252077.29216
Operačný stôl s ortopedicko-traumatologickým príslušenstvom,Nemocnice s poliklinikami n.o.,,81427,Otvorená,Tovary,Nákup na splátky,SK023,false,true,false,64623,false,,64623
,MOSUPO J&M spol. s r.o.,,285714,Otvorená,Tovary,Kúpa,SK041,false,false,true,284980,false,,284980
Technologické vybavenie zberného dvora,Obec Pečovská Nová Ves,,234467,Otvorená,Tovary,Kúpa,SK041,true,true,true,290000,true,20,232000
Nové technologické zariadenia II.,Ing. Vladimír Lago,,508210,Otvorená,Tovary,Kúpa,SK031,false,true,true,324075,false,,324075
Zabezpečenie stravovania formou stravovacích poukážok pre zamestnancov DAB v Nitre,Nitriansky samosprávny kraj,,340833,Otvorená,Služby,17,SK,false,false,false,340833,false,,340833
Užitkové motorové vozidlá,Správa a údržba ciest Prešovského samosprávneho kraja,,210833,Otvorená,Tovary,Kúpa,SK041,true,true,false,285846,true,20,228676.80000000002
Prenosné protipovodňové zábrany,Ministerstvo vnútra Slovenskej republiky,,17000000,Otvorená,Tovary,Kúpa,SK,true,true,true,3135000,false,,3135000
Prenosné protipovodňové zábrany,Ministerstvo vnútra Slovenskej republiky,,17000000,Otvorená,Tovary,Kúpa,SK,true,true,true,17000000,false,,17000000
